         # i           j           u
          17          16    -481.701
          17          17    -492.994
          17          18    -502.787
          17          19    -511.115
          17          20     -518.01
          17          21    -523.495
          17          22    -527.592
          17          23    -530.314
          17          24    -531.673
          17          25    -531.673
          17          26    -530.314
          17          27    -527.592
          17          28    -523.495
          17          29     -518.01
          17          30    -511.115
          17          31    -502.787
          17          32    -492.994
          17          33    -481.701
          17          34    -468.867
          17          35    -454.446
          17          36    -438.387
          17          37    -420.632
          17          38     -401.12
          17          39    -379.781
          17          40    -356.544
          17          41    -331.329
          17          42    -304.052
          17          43    -274.624
          17          44    -242.951
          17          45    -208.935
          17          46    -172.473
          17          47    -133.459
          17          48     -91.783
          17          49    -47.3345
          18           0    -48.0524
          18           1    -93.2147
          18           2    -135.596
          18           3    -175.303
          18           4    -212.443
          18           5    -247.117
          18           6    -279.426
          18           7    -309.465
          18           8    -337.326
          18           9    -363.095
          18          10    -386.856
          18          11    -408.686
          18          12    -428.656
          18          13    -446.835
          18          14    -463.283
          18          15    -478.058
          18          16     -491.21
          18          17    -502.787
          18          18    -512.827
          18          19    -521.368
          18          20    -528.439
          18          21    -534.066
          18          22    -538.268
          18          23    -541.062
          18          24    -542.456
          18          25    -542.456
          18          26    -541.062
          18          27    -538.268
          18          28    -534.066
          18          29    -528.439
          18          30    -521.368
          18          31    -512.827
          18          32    -502.787
          18          33     -491.21
          18          34    -478.058
          18          35    -463.283
          18          36    -446.835
          18          37    -428.656
          18          38    -408.686
          18          39    -386.856
          18          40    -363.095
          18          41    -337.326
          18          42    -309.465
          18          43    -279.426
          18          44    -247.117
          18          45    -212.443
          18          46    -175.303
          18          47    -135.596
          18          48    -93.2147
          18          49    -48.0524
          19           0    -48.6606
          19           1    -94.4275
          19           2    -137.406
          19           3    -177.702
          19           4    -215.416
          19           5    -250.649
          19           6    -283.498
          19           7    -314.057
          19           8    -342.414
          19           9    -368.656
          19          10    -392.863
          19          11    -415.111
          19          12    -435.472
          19          13    -454.013
          19          14    -470.794
          19          15    -485.871
          19          16    -499.296
          19          17    -511.115
          19          18    -521.368
          19          19    -530.091
          19          20    -537.313
          19          21    -543.061
          19          22    -547.354
          19          23    -550.208
          19          24    -551.632
          19          25    -551.632
          19          26    -550.208
          19          27    -547.354
          19          28    -543.061
          19          29    -537.313
          19          30    -530.091
          19          31    -521.368
          19          32    -511.115
          19          33    -499.296
          19          34    -485.871
          19          35    -470.794
          19          36    -454.013
          19          37    -435.472
          19          38    -415.111
          19          39    -392.863
          19          40    -368.656
          19          41    -342.414
          19          42    -314.057
          19          43    -283.498
          19          44    -250.649
          19          45    -215.416
          19          46    -177.702
          19          47    -137.406
          19          48    -94.4275
          19          49    -48.6606
          20           0    -49.1624
          20           1    -95.4283
          20           2    -138.901
          20           3    -179.682
          20           4    -217.871
          20           5    -253.566
          20           6    -286.861
          20           7    -317.849
          20           8    -346.618
          20           9    -373.251
          20          10    -397.827
          20          11    -420.423
          20          12    -441.109
          20          13     -459.95
          20          14    -477.007
          20          15    -492.337
          20          16    -505.989
          20          17     -518.01
          20          18    -528.439
          20          19    -537.313
          20          20    -544.662
          20          21     -550.51
          20          22    -554.879
          20          23    -557.783
          20          24    -559.233
          20          25    -559.233
          20          26    -557.783
          20          27    -554.879
          20          28     -550.51
          20          29    -544.662
          20          30    -537.313
          20          31    -528.439
          20          32     -518.01
          20          33    -505.989
          20          34    -492.337
